									Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count
27	true	Empty	Ras-like protein rasD OS=Dictyostelium discoideum GN=rasD PE=2 SV=2	sp|P03967|RASD_DICDI		21 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0
28	true	Empty	Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI		97 kDa	true	unknown	18	34	33	3	25	47	38	27	4	54	29	17	3	11	37	47
29	true	Empty	Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI		40 kDa	true	unknown	2	3	3	0	3	78	6	0	0	13	7	2	0	10	10	1
30	true	Empty	Guanine nucleotide-binding protein alpha-8 subunit OS=Dictyostelium discoideum GN=gpaH PE=2 SV=2	sp|P34046|GPA8_DICDI		46 kDa	true	unknown	0	0	0	0	0	0	40	0	0	0	1	0	0	0	0	0
31	true	Empty	Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI		93 kDa	true	unknown	19	31	26	0	27	31	32	16	0	47	17	13	6	4	29	38
32	true	Empty	Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI		28 kDa	true	unknown	20	20	6	1	7	5	10	4	3	15	4	26	11	19	12	19
33	true	Empty	Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI		291 kDa	true	unknown	12	12	55	0	15	48	37	3	0	41	60	15	3	3	34	44
34	true	Empty	Putative actin-24 OS=Dictyostelium discoideum GN=act24 PE=3 SV=1	sp|Q54HF1|ACT24_DICDI		42 kDa	true	unknown	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
35	true	Empty	Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI		28 kDa	true	unknown	7	7	2	0	2	2	2	1	0	8	1	10	4	6	8	9
36	true	Empty	Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI		40 kDa	true	unknown	3	3	8	0	2	4	6	0	0	4	5	0	0	4	10	2
37	true	Empty	Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI		80 kDa	true	unknown	13	15	18	3	28	28	12	19	4	22	17	16	1	6	30	23
38	true	Empty	Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI		92 kDa	true	unknown	17	18	20	2	19	20	25	17	3	22	21	17	7	15	20	28
39	true	Empty	Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1	sp|Q54D04|MDHB_DICDI		38 kDa	true	unknown	17	21	19	7	15	15	21	1	0	24	8	12	6	3	24	23
40	true	Empty	Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI		37 kDa	true	unknown	8	10	8	7	15	10	18	6	0	14	12	13	6	3	15	14
41	true	Empty	ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1	sp|Q55CS9|ATPB_DICDI		71 kDa	true	unknown	9	12	18	13	24	14	22	5	6	30	19	8	6	36	3	35
42	true	Empty	Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1	sp|Q8I0H7|HSP7M_DICDI		71 kDa	true	unknown	14	21	8	1	21	17	24	8	0	38	13	19	9	9	1	20
43	true	Empty	Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI		49 kDa	true	unknown	3	6	28	4	21	15	30	11	4	24	14	14	0	3	17	20
44	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI		32 kDa	true	unknown	14	18	6	5	6	14	20	0	0	16	6	5	2	4	12	15
45	true	Empty	Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI		47 kDa	true	unknown	16	14	18	3	16	16	37	7	3	16	16	10	0	3	17	15
46	true	Empty	Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI		117 kDa	true	unknown	22	22	26	1	12	29	30	11	6	35	24	10	0	5	10	28
47	true	Empty	Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1	sp|P22887|NDKC_DICDI		17 kDa	true	unknown	13	13	13	6	11	5	13	0	0	11	8	8	2	6	7	7
48	true	Empty	Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI		150 kDa	true	unknown	9	9	31	1	19	30	27	2	1	30	10	11	0	0	22	36
49	true	Empty	Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI		55 kDa		unknown	7	11	26	4	14	9	32	9	5	21	12	10	1	6	19	19
50	true	Empty	Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI		51 kDa	true	unknown	12	11	15	6	14	6	13	6	8	11	7	4	0	11	9	12
51	true	Empty	Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI		94 kDa	true	unknown	21	27	28	1	11	24	24	6	16	25	15	6	1	5	11	25
52	true	Empty	Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI		21 kDa	true	unknown	5	5	0	0	4	3	9	1	0	6	3	29	0	5	4	6
53	true	Empty	Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI		72 kDa	true	unknown	11	12	26	3	16	9	34	10	3	30	13	11	7	2	2	26
54	true	Empty	Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI		95 kDa	true	unknown	18	26	28	0	14	23	23	11	15	35	16	9	2	7	19	32
55	true	Empty	Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI		89 kDa	true	unknown	13	27	24	0	11	22	19	7	6	35	16	14	1	6	16	31
56	true	Empty	Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI		33 kDa	true	unknown	12	12	5	4	6	13	21	0	0	14	8	5	5	5	9	19
57	true	Empty	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1	sp|Q54RA2|AL4A1_DICDI		62 kDa	true	unknown	8	13	24	2	13	5	30	12	11	32	14	11	1	2	3	16
58	true	Empty	Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI		21 kDa	true	unknown	4	4	4	1	3	2	9	25	2	8	4	5	3	7	7	4
59	true	Empty	Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI		47 kDa	true	unknown	6	8	18	3	20	12	19	9	4	26	11	8	0	5	17	17
60	true	Empty	Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI		246 kDa	true	unknown	10	12	8	1	13	25	7	10	0	25	22	17	3	1	23	17
61	true	Empty	Talin-B OS=Dictyostelium discoideum GN=talB PE=2 SV=1	sp|Q54K81|TALB_DICDI		278 kDa	true	unknown	2	3	5	4	18	26	19	8	0	57	30	9	0	0	41	49
62	true	Empty	Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI		73 kDa	true	unknown	13	19	16	3	13	15	23	8	2	15	17	5	14	19	5	20
63	true	Empty	60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI		40 kDa	true	unknown	20	24	16	5	19	12	9	1	0	20	7	9	0	9	15	21
64	true	Empty	Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1	sp|Q553V1|CISYM_DICDI		51 kDa	true	unknown	6	16	15	2	13	11	14	2	0	17	7	12	0	1	18	17
65	true	Empty	Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI		270 kDa	true	unknown	1	2	17	0	8	26	48	5	0	37	19	4	0	37	21	40
66	true	Empty	Cystathionine gamma-lyase OS=Dictyostelium discoideum GN=cysA PE=2 SV=1	sp|Q55DV9|CGL_DICDI		42 kDa	true	unknown	9	8	18	4	9	7	31	0	0	23	6	5	0	1	19	15
67	true	Empty	Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI		80 kDa	true	unknown	28	42	5	0	7	12	13	6	5	10	6	9	5	0	3	12
68	true	Empty	Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI		88 kDa	true	unknown	4	6	0	0	12	4	1	0	1	47	5	34	3	24	11	2
69	true	Empty	Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI		57 kDa	true	unknown	3	16	13	5	17	11	14	9	1	20	13	9	3	2	14	14
70	true	Empty	60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI		28 kDa		unknown	12	12	5	2	10	5	5	0	0	17	1	6	1	3	8	9
71	true	Empty	Heat shock protein 88 OS=Dictyostelium discoideum GN=hspH PE=1 SV=1	sp|Q6TMK3|HSP88_DICDI		86 kDa	true	unknown	17	25	29	0	12	17	23	13	8	28	12	5	0	3	16	25
72	true	Empty	Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI		33 kDa	true	unknown	15	12	4	1	5	5	7	0	0	8	3	3	2	2	7	8
73	true	Empty	Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaB PE=4 SV=1	tr|Q55CY7|Q55CY7_DICDI		98 kDa	true	unknown	10	13	25	0	13	19	28	7	4	23	10	5	0	3	14	20
74	true	Empty	Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI		59 kDa	true	unknown	6	10	18	0	15	11	23	10	0	20	13	12	0	4	7	14
75	true	Empty	Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1	sp|Q54XS2|ACON_DICDI		84 kDa	true	unknown	10	18	8	1	19	16	24	3	3	24	7	10	0	1	18	28
76	true	Empty	40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI		27 kDa	true	unknown	10	10	6	2	5	7	7	0	0	14	3	5	3	5	8	9
77	true	Empty	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI		95 kDa	true	unknown	6	11	27	2	15	16	26	5	3	13	7	3	0	1	12	17
78	true	Empty	14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI		29 kDa	true	unknown	9	9	6	4	14	6	12	0	0	14	7	6	0	5	9	9
79	true	Empty	Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1	sp|Q75JR2|IDHP_DICDI		48 kDa	true	unknown	16	16	22	5	19	11	11	0	2	14	7	10	0	2	17	19
80	true	Empty	Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1	sp|Q54KB7|DHE3_DICDI		55 kDa	true	unknown	17	18	18	7	13	6	24	11	5	13	10	15	0	2	15	16
81	true	Empty	Heat shock cognate 70 kDa protein 3 OS=Dictyostelium discoideum GN=DDB_G0293674 PE=3 SV=1	sp|Q54BE0|HS7C3_DICDI		70 kDa	true	unknown	0	0	4	0	2	0	4	0	0	0	0	0	0	0	0	1
82	true	Empty	Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI		50 kDa	true	unknown	13	13	13	0	13	9	19	5	0	21	4	10	0	5	13	13
83	true	Empty	Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI		29 kDa	true	unknown	4	4	5	1	8	3	12	0	0	12	1	2	1	4	5	9
84	true	Empty	Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI		40 kDa	true	unknown	8	9	7	9	14	7	16	0	0	15	11	4	0	8	15	9
85	true	Empty	Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI		244 kDa	true	unknown	3	5	16	3	2	3	73	0	0	6	4	10	0	0	2	31
86	true	Empty	Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI		39 kDa	true	unknown	9	10	19	4	14	7	23	0	2	15	7	6	3	2	16	11
87	true	Empty	Midasin OS=Dictyostelium discoideum GN=mdn1 PE=3 SV=2	sp|Q869L3|MDN1_DICDI (+1)		679 kDa	true	unknown	1	1	0	1	1	5	1	0	0	1	3	4	1	1	1	2
88	true	Empty	Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI		63 kDa	true	unknown	7	16	27	0	17	6	31	6	4	17	5	14	2	2	0	11
89	true	Empty	Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI		114 kDa	true	unknown	18	18	17	0	13	20	13	11	2	22	15	7	0	1	10	26
90	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI		80 kDa	true	unknown	10	14	6	0	12	3	18	5	0	27	12	4	4	6	3	11
91	true	Empty	Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI		56 kDa	true	unknown	6	12	15	1	12	4	33	7	2	24	7	8	0	1	1	18
92	true	Empty	2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1	sp|Q54JE4|ODO1_DICDI		114 kDa	true	unknown	16	20	2	0	9	14	13	0	0	29	7	9	1	0	13	20
93	true	Empty	Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI		43 kDa	true	unknown	2	6	7	4	0	8	8	3	0	7	17	14	2	24	12	5
94	true	Empty	Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI		61 kDa	true	unknown	13	23	7	0	10	3	13	6	6	11	4	8	0	3	0	13
95	true	Empty	Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI		83 kDa		unknown	12	15	23	1	11	14	19	6	3	21	14	8	0	3	7	21
96	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI		176 kDa	true	unknown	17	17	16	0	7	15	17	6	0	21	8	6	0	0	9	19
97	true	Empty	40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI		24 kDa	true	unknown	13	13	5	5	5	6	10	0	0	22	7	9	1	6	15	13
98	true	Empty	V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI		68 kDa	true	unknown	13	22	6	0	11	11	7	4	2	12	17	9	9	1	8	18
99	true	Empty	DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI		44 kDa	true	unknown	10	15	14	0	8	20	2	2	0	8	16	14	3	2	18	15
100	true	Empty	Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI		56 kDa	true	unknown	4	6	12	8	10	5	17	7	2	13	6	7	0	3	11	9
101	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI		197 kDa	true	unknown	1	1	35	0	23	36	41	22	0	24	12	8	0	0	11	47
102	true	Empty	4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI		42 kDa		unknown	10	13	11	2	11	9	15	0	0	11	3	10	0	1	17	11
103	true	Empty	Rho-related protein rac1A OS=Dictyostelium discoideum GN=rac1A PE=1 SV=2	sp|P34144|RAC1A_DICDI		22 kDa	true	unknown	5	5	2	0	4	0	7	0	0	20	5	4	0	3	8	6
104	true	Empty	S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI		42 kDa	true	unknown	3	6	3	0	16	12	10	3	0	13	3	5	5	4	14	20
105	true	Empty	60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI		33 kDa	true	unknown	10	10	4	3	8	4	7	0	0	16	2	3	3	6	9	9
106	true	Empty	Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI		33 kDa		unknown	12	13	12	6	10	10	11	0	0	10	5	7	0	0	12	14
107	true	Empty	Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI		53 kDa	true	unknown	12	12	8	9	11	9	20	0	0	13	8	7	2	8	10	13
108	true	Empty	60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI		33 kDa	true	unknown	14	14	5	1	6	8	10	0	0	16	2	4	2	7	7	12
109	true	Empty	40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI		30 kDa		unknown	15	15	3	5	13	8	6	0	0	17	3	3	2	6	7	12
110	true	Empty	Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI		121 kDa	true	unknown	5	9	10	1	12	12	23	5	0	17	14	4	1	0	9	15
111	true	Empty	ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1	sp|Q9XPJ9|ATPAM_DICDI		57 kDa	true	unknown	5	9	4	9	7	13	10	3	1	12	13	8	0	9	8	17
112	true	Empty	60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI		32 kDa	true	unknown	12	12	3	1	8	5	0	0	0	14	1	3	0	5	6	12
113	true	Empty	40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI		30 kDa	true	unknown	8	8	3	3	5	4	9	0	0	13	4	4	1	4	11	8
114	true	Empty	Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI		49 kDa	true	unknown	7	13	10	0	8	5	14	7	0	16	6	9	0	6	12	8
115	true	Empty	Glutamate synthase [NADPH] large chain p	sp|P09831|GLTB_ECOLI		167 kDa	true	unknown	1	1	1	1	1	1	1	0	1	1	5	1	1	2	1	2
