long_id	uniprot	mw	is_grouping	spectral_count	bait	condition
Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=3 SV=1	tr|F5H5D3|F5H5D3_HUMAN	58	TRUE	57	GST	GppNHp
Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=2 SV=1	tr|B4DXW1|B4DXW1_HUMAN	42	TRUE	45	GST	GppNHp
Chromosome partition protein MukB OS=Escherichia coli GN=mukB PE=3 SV=1	tr|E2QJD5|E2QJD5_ECOLX	170	TRUE	0	GST	GppNHp
Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIA PE=3 SV=1	tr|C9J5S7|C9J5S7_HUMAN (+1)	13	TRUE	44	GST	GppNHp
Dual-specificity RNA methyltransferase RlmN OS=Escherichia coli GN=yfgB PE=3 SV=1	tr|E2QPY3|E2QPY3_ECOLX	43	NA	0	GST	GppNHp
Long-chain-fatty-acid--CoA ligase 4 (Fragment) OS=Homo sapiens GN=ACSL4 PE=4 SV=1	tr|H0Y9A0|H0Y9A0_HUMAN	17	NA	0	GST	GppNHp
Coiled-coil domain-containing protein 88B OS=Homo sapiens GN=CCDC88B PE=1 SV=1	sp|A6NC98|CC88B_HUMAN	165	TRUE	0	GST	GppNHp
Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli GN=sdhA PE=4 SV=1	tr|C3TIN7|C3TIN7_ECOLX	64	TRUE	0	GST	GppNHp
Gelsolin OS=Homo sapiens GN=GSN PE=4 SV=1	tr|F5H1A8|F5H1A8_HUMAN	81	NA	41	GST	GppNHp
50S ribosomal protein L4 OS=Escherichia coli GN=rplD PE=3 SV=1	tr|C3SQU7|C3SQU7_ECOLX	22	TRUE	0	GST	GppNHp
Elongation factor G OS=Escherichia coli GN=fusA PE=3 SV=1	tr|C3SQS7|C3SQS7_ECOLX	78	NA	0	GST	GppNHp
Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=4 SV=1	tr|H3BQK9|H3BQK9_HUMAN	861	TRUE	2	GST	GppNHp
Ribose transport ATP-binding protein RbsA OS=Escherichia coli GN=LF82_519 PE=3 SV=1	tr|E2QET4|E2QET4_ECOLX	55	TRUE	4	GST	GppNHp
Junction plakoglobin OS=Homo sapiens GN=JUP PE=3 SV=1	tr|F5GWP8|F5GWP8_HUMAN	66	TRUE	26	GST	GppNHp
Ezrin OS=Homo sapiens GN=EZR PE=4 SV=2	tr|E7EQR4|E7EQR4_HUMAN	66	TRUE	40	GST	GppNHp
Transketolase OS=Homo sapiens GN=TKT PE=4 SV=1	tr|E7EPA7|E7EPA7_HUMAN	69	TRUE	38	GST	GppNHp
DNA gyrase subunit B OS=Escherichia coli GN=gyrB PE=3 SV=1	tr|C3SLN3|C3SLN3_ECOLX	90	NA	0	GST	GppNHp
Protein FAM65B OS=Homo sapiens GN=FAM65B PE=4 SV=1	tr|F5GX51|F5GX51_HUMAN	116	TRUE	0	GST	GppNHp
ATP-binding component of serine protease OS=Escherichia coli GN=clpA PE=3 SV=1	tr|C3TGN7|C3TGN7_ECOLX	84	NA	0	GST	GppNHp
Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=3 SV=1	tr|H0YMD0|H0YMD0_HUMAN (+2)	25	TRUE	38	GST	GppNHp
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=4 SV=1	tr|F8WCF6|F8WCF6_HUMAN	21	NA	32	GST	GppNHp
LanC-like protein 1 (Fragment) OS=Homo sapiens GN=LANCL1 PE=4 SV=1	tr|E9PHS0|E9PHS0_HUMAN	22	NA	21	GST	GppNHp
Phosphoglycerate kinase OS=Homo sapiens GN=PGK1 PE=2 SV=1	tr|B7Z7A9|B7Z7A9_HUMAN	41	TRUE	37	GST	GppNHp
30S ribosomal protein S5 OS=Escherichia coli GN=rpsE PE=3 SV=1	tr|C3SR27|C3SR27_ECOLX	18	NA	0	GST	GppNHp
RAS p21 protein activator 2, isoform CRA_b OS=Homo sapiens GN=RASA2 PE=4 SV=1	tr|G3V0F9|G3V0F9_HUMAN	97	TRUE	0	GST	GppNHp
Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens GN=ACSL1 PE=4 SV=1	tr|E7EPM6|E7EPM6_HUMAN	74	TRUE	0	GST	GppNHp
Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=4 SV=1	REVtr|A8MXH5|A8MXH5_HUMAN	165	TRUE	0	GST	GppNHp
Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=4 SV=1	tr|E7ET33|E7ET33_HUMAN	78	NA	0	GST	GppNHp
Vimentin OS=Homo sapiens GN=VIM PE=3 SV=1	tr|B0YJC4|B0YJC4_HUMAN	50	TRUE	13	GST	GppNHp
Synembryn-A (Fragment) OS=Homo sapiens GN=RIC8A PE=4 SV=1	tr|H0YEN0|H0YEN0_HUMAN	32	TRUE	0	GST	GppNHp
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=2 SV=1	tr|B4DUR8|B4DUR8_HUMAN	56	TRUE	17	GST	GppNHp
Succinate dehydrogenase OS=Escherichia coli GN=sdhB PE=4 SV=1	tr|C3TIN2|C3TIN2_ECOLX	27	NA	0	GST	GppNHp
LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens GN=LASP1 PE=4 SV=1	tr|C9J9W2|C9J9W2_HUMAN	19	TRUE	31	GST	GppNHp
Dynein heavy chain 8, axonemal OS=Homo sapiens GN=DNAH8 PE=4 SV=1	REVtr|H0Y7V4|H0Y7V4_HUMAN	479	TRUE	2	GST	GppNHp
Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=4 SV=1	tr|G8JLG1|G8JLG1_HUMAN	59	TRUE	19	GST	GppNHp
Fermitin family homolog 3 (Fragment) OS=Homo sapiens GN=FERMT3 PE=4 SV=1	tr|F5H1C6|F5H1C6_HUMAN	33	NA	35	GST	GppNHp
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=4 SV=1	tr|F8VXY0|F8VXY0_HUMAN	33	TRUE	17	GST	GppNHp
Peptidoglycan-associated lipoprotein OS=Escherichia coli GN=pal PE=3 SV=1	tr|E2QIB4|E2QIB4_ECOLX	19	TRUE	0	GST	GppNHp
ATP synthase subunit b OS=Escherichia coli GN=atpF PE=3 SV=1	tr|E2QHS4|E2QHS4_ECOLX	17	TRUE	0	GST	GppNHp
Putative aminotransferase OS=Escherichia coli GN=b2290 PE=4 SV=1	tr|C3T2A7|C3T2A7_ECOLX	46	TRUE	0	GST	GppNHp
NadH-quinone oxidoreductase subunit G OS=Escherichia coli GN=nuoG PE=4 SV=1	tr|E2QPE4|E2QPE4_ECOLX	100	TRUE	0	GST	GppNHp
Ribonuclease E OS=Escherichia coli GN=rne PE=4 SV=1	tr|E2QKG8|E2QKG8_ECOLX	118	NA	0	GST	GppNHp
D-alanyl-D-alanine carboxypeptidase penicillin-binding protein 6 OS=Escherichia coli GN=dacC PE=3 SV=1	tr|C3TH97|C3TH97_ECOLX	44	TRUE	0	GST	GppNHp
Signal recognition particle protein OS=Escherichia coli GN=ffh PE=3 SV=1	tr|C3SYN7|C3SYN7_ECOLX	50	NA	0	GST	GppNHp
Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=2 SV=1	tr|B4DEK7|B4DEK7_HUMAN	24	TRUE	0	GST	GppNHp
Small heat shock protein IbpB OS=Escherichia coli GN=ibpB PE=3 SV=1	tr|E2QHM5|E2QHM5_ECOLX	16	NA	0	GST	GppNHp
Extracellular signal-regulated kinase-2 splice variant OS=Homo sapiens GN=MAPK1 PE=2 SV=1	tr|A8CZ64|A8CZ64_HUMAN	36	TRUE	18	GST	GppNHp
Isoform 2 of Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5	REVsp|A8TX70-2|CO6A5_HUMAN (+3)	280	TRUE	2	GST	GppNHp
ATP synthase subunit alpha OS=Escherichia coli GN=atpA PE=3 SV=1	tr|C3SL97|C3SL97_ECOLX	55	NA	0	GST	GppNHp
Putative Polycomb group protein ASXL2 OS=Homo sapiens GN=ASXL2 PE=4 SV=1	REVtr|E7EWD6|E7EWD6_HUMAN	150	NA	0	GST	GppNHp
Probable RNA 2'-phosphotransferase OS=Escherichia coli GN=kptA PE=3 SV=1	tr|E2QL97|E2QL97_ECOLX	20	NA	0	GST	GppNHp
Outer membrane protein assembly factor BamA OS=Escherichia coli GN=yaet PE=3 SV=1	tr|C3TPJ2|C3TPJ2_ECOLX	91	TRUE	0	GST	GppNHp
CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=4 SV=1	tr|E5RIG2|E5RIG2_HUMAN (+1)	389	TRUE	0	GST	GppNHp
Bifunctional protein HldE OS=Escherichia coli GN=rfae PE=3 SV=1	tr|E2QE78|E2QE78_ECOLX	51	NA	0	GST	GppNHp
Glutamate synthase [NadPH] large chain OS=Escherichia coli GN=gltB PE=4 SV=1	tr|E2QEP5|E2QEP5_ECOLX	167	TRUE	0	GST	GppNHp
ATP-dependent protease ATPase subunit HslU OS=Escherichia coli GN=hslU PE=3 SV=1	tr|E2QIV8|E2QIV8_ECOLX	50	NA	0	GST	GppNHp
50S ribosomal protein L19 OS=Escherichia coli GN=rplS PE=3 SV=1	tr|C3SYQ7|C3SYQ7_ECOLX	13	TRUE	0	GST	GppNHp
Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli GN=zntA PE=3 SV=1	tr|E2QFX3|E2QFX3_ECOLX	77	TRUE	0	GST	GppNHp
UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli GN=murA PE=3 SV=1	tr|E2QEM2|E2QEM2_ECOLX	45	TRUE	0	GST	GppNHp
L-lactate dehydrogenase (Fragment) OS=Homo sapiens GN=LDHB PE=3 SV=1	tr|A8MW50|A8MW50_HUMAN	25	TRUE	26	GST	GppNHp
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E7ERW7|E7ERW7_HUMAN	153	TRUE	0	GST	GppNHp
SAM domain and HD domain-containing protein 1 OS=Homo sapiens GN=SAMHD1 PE=2 SV=2	tr|A6NDZ3|A6NDZ3_HUMAN	20	NA	0	GST	GppNHp
Uncharacterized protein OS=Homo sapiens GN=VCL PE=2 SV=1	tr|B4DTM7|B4DTM7_HUMAN	36	NA	24	GST	GppNHp
DOCK10.2 OS=Homo sapiens GN=DOCK10.2 PE=2 SV=2	tr|B3FL70|B3FL70_HUMAN	249	TRUE	2	GST	GppNHp
Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=3 SV=1	tr|E7ETU3|E7ETU3_HUMAN	27	TRUE	3	GST	GppNHp
Caldesmon OS=Homo sapiens GN=CALD1 PE=4 SV=1	tr|E7EX44|E7EX44_HUMAN (+1)	64	TRUE	18	GST	GppNHp
50S ribosomal protein L14 OS=Escherichia coli GN=rplN PE=3 SV=1	tr|C3SQZ2|C3SQZ2_ECOLX	14	NA	0	GST	GppNHp
Mucin-19 (Fragment) OS=Homo sapiens GN=MUC19 PE=4 SV=1	tr|C9JCE7|C9JCE7_HUMAN	175	TRUE	0	GST	GppNHp
Small heat shock protein IbpA OS=Escherichia coli GN=ibpA PE=3 SV=1	tr|C3SLR2|C3SLR2_ECOLX	16	TRUE	0	GST	GppNHp
T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=2 SV=1	tr|B4DPJ8|B4DPJ8_HUMAN	55	TRUE	6	GST	GppNHp
Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=2 SV=1	tr|B4DTG2|B4DTG2_HUMAN	56	NA	26	GST	GppNHp
Chaperone clpB OS=Escherichia coli GN=clpB PE=3 SV=1	tr|E2QQ51|E2QQ51_ECOLX	92	NA	0	GST	GppNHp
Carbamoyl-phosphate synthase large chain OS=Escherichia coli GN=carB PE=3 SV=1	tr|E2QEW2|E2QEW2_ECOLX	118	NA	0	GST	GppNHp
Chaperone protein DnaK OS=Escherichia coli GN=dnaK PE=3 SV=1	tr|C3TRK2|C3TRK2_ECOLX	69	TRUE	0	GST	GppNHp
Tumor necrosis factor alpha-induced protein 8 OS=Homo sapiens GN=TNFAIP8 PE=4 SV=1	tr|D6RCM8|D6RCM8_HUMAN	23	NA	0	GST	GppNHp
Bifunctional protein putA OS=Escherichia coli GN=putA PE=3 SV=1	tr|E2QJQ6|E2QJQ6_ECOLX	144	TRUE	0	GST	GppNHp
Heat shock protein HSP 90-alpha (Fragment) OS=Homo sapiens GN=HSP90AA1 PE=4 SV=1	tr|G3V2J8|G3V2J8_HUMAN	20	TRUE	16	GST	GppNHp
ATP-binding component of transport system for maltose OS=Escherichia coli GN=malK PE=4 SV=1	tr|C3SHQ2|C3SHQ2_ECOLX	41	TRUE	0	GST	GppNHp
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli GN=ispG PE=3 SV=1	tr|C3SZW7|C3SZW7_ECOLX	41	NA	0	GST	GppNHp
Plastin-2 OS=Homo sapiens GN=LCP1 PE=2 SV=1	tr|B4DUA0|B4DUA0_HUMAN	22	TRUE	41	GST	GppNHp
Actin-related protein 2/3 complex subunit 3 (Fragment) OS=Homo sapiens GN=ARPC3 PE=4 SV=1	tr|C9JZD1|C9JZD1_HUMAN	12	NA	9	GST	GppNHp
Phosphorylase OS=Homo sapiens GN=PYGL PE=3 SV=1	tr|E9PK47|E9PK47_HUMAN	94	TRUE	8	GST	GppNHp
Outer membrane protein X OS=Escherichia coli GN=ompX PE=4 SV=1	tr|C3THK7|C3THK7_ECOLX	19	NA	0	GST	GppNHp
Outer membrane lipoprotein slyB OS=Escherichia coli GN=slyB PE=4 SV=1	tr|E2QMK5|E2QMK5_ECOLX	16	NA	0	GST	GppNHp
2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli GN=sucA PE=4 SV=1	tr|E2QI99|E2QI99_ECOLX	105	TRUE	0	GST	GppNHp
WD repeat-containing protein 1 (Fragment) OS=Homo sapiens GN=WDR1 PE=4 SV=1	tr|D6RD66|D6RD66_HUMAN	27	TRUE	41	GST	GppNHp
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=4 SV=1	tr|E7EVF4|E7EVF4_HUMAN (+1)	146	TRUE	13	GST	GppNHp
