long_id	uniprot	mw	is_grouping	spectral_count	bait	condition	z_score_spectral
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29	NA	15	RasC	Normal	-0.14268901912556
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30	NA	15	RasC	Normal	0.0647685181787506
Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI	47	NA	18	RasC	Normal	-0.390042236680699
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35	NA	15	RasC	Normal	-0.0389602504734047
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51	TRUE	14	RasC	Normal	-0.150668155175726
Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1	sp|Q55BI2|IDHA_DICDI	38	NA	17	RasC	Normal	0.0248728379279216
HEAT repeat-containing protein 7A homolog OS=Dictyostelium discoideum GN=heatr7a PE=4 SV=1	sp|Q54F23|HTR7A_DICDI	186	NA	14	RasC	Normal	0.0168937018777558
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22	TRUE	13	RasC	Normal	0.0408311100282532
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22	NA	16	RasC	Normal	-0.126730747025228
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46	NA	17	RasC	Normal	-0.134709883075394
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32	NA	9	RasC	Normal	-0.0469393865235705
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16	NA	15	RasC	Normal	-0.0469393865235705
Preprotein translocase secA subunit.	sp|P10408|SECA_ECOLI	102	NA	13	RasC	Normal	0.0408311100282532
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96	NA	17	RasC	Normal	-0.00704370627274154
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI	197	TRUE	13	RasC	Normal	-0.557604093734181
